Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Nature Reviews Molecular Cell Biology,"52,19 %","2,19 %","1,86","125,75","0,51","28,64"
Deutsches Ärzteblatt international,"90,59 %","2,5 %","6,94","26,4","1,21","3,53"
American Journal of Epidemiology,"80,41 %","3,64 %","8,53","13,68","0,91","10,99"
Nature Reviews Neuroscience,"45,47 %","3,06 %","3,57","67,2","0,99","24,69"
European Journal of Applied Physiology,"45,09 %","1,59 %","3,76","16,01","1,11","21,25"
The Journal of Headache and Pain,100 %,"2,12 %","2,64","29,76","1,46","8,24"
Expert Review of Clinical Immunology,"29,47 %","12,68 %","14,76","20,11","0,24","47,31"
Vaccines,100 %,"5,24 %","56,68","10,79","0,33","27,86"
Geophysical Research Letters,"79,87 %","36,22 %",569,"19,64","2,51","14,97"
Neurobiology of Disease,"88,11 %","12,67 %","35,51","23,14","1,65","20,23"
EuroIntervention,"42,6 %","2,97 %",7,"13,59","1,14","37,74"
CNS Drugs,"54,24 %","7,98 %","6,62","28,38","1,97","3,81"
Bulletin of the American Meteorological Society,"91,54 %","86,28 %","208,43","14,58","2,74","16,64"
Nicotine & Tobacco Research,"71,09 %","72,35 %",188,"12,3","2,05","20,28"
Translational Psychiatry,100 %,"1,68 %","7,03","20,58","0,88","15,1"
Primates,"42,55 %","3,79 %","1,86","10,7","4,07","40,09"
Current Climate Change Reports,"66,45 %","80,56 %","12,43","36,67","1,54","9,84"
Journal of Medical Internet Research,100 %,"1,3 %","11,57","16,61","1,04","8,85"
Journal of Allergy and Clinical Immunology,"78,44 %","2,05 %","27,24","18,54","0,94","6,91"
International Journal of Hygiene and Environmental Health,"55,89 %","3,16 %","4,1","21,2","1,41","5,67"
Cancer Treatment Reviews,"43,09 %","18,54 %","18,3","41,69","0,28","11,95"
Genome Research,"95,71 %","6,01 %","9,86","37,52","1,09","17,03"
Lab on a Chip,"44,21 %","1,63 %","5,83",37,"1,52","4,18"
Journal of Controlled Release,"32,56 %","6,38 %","36,71","30,93","1,38","8,55"
American Journal of Biological Anthropology,"48,82 %","1,69 %","2,77","15,21","4,47","43,28"
American Journal of Transplantation,"74,05 %","7,16 %","30,86","18,06","1,26","9,06"
American Journal of Clinical Dermatology,"42,1 %","9,24 %","6,84","30,24","1,22","5,41"
Earth-Science Reviews,"44,07 %","2,69 %","7,29","64,23","2,13","9,67"
JHEP Reports,100 %,"21,12 %","24,81","17,93","1,07","18,94"
npj Breast Cancer,100 %,"10,71 %","9,22","22,12","1,14","12,44"
PLOS ONE,100 %,"1,15 %","182,35","13,11","0,95","3,6"
Circulation Arrhythmia and Electrophysiology,"86,33 %","7,3 %","9,86","17,85","1,58","20,18"
European Urology Oncology,"33,63 %","7,36 %","9,27","19,92","0,3","27,42"
Annals of the New York Academy of Sciences,"57,73 %","5,49 %","10,52","21,23","0,63","5,05"
Therapeutic Advances in Infectious Disease,100 %,"21,12 %","11,29","8,31","6,21","11,13"
Advances in Kidney Disease and Health,"29,69 %","8,44 %","5,57","15,85","1,79","24,72"
Journal of Functional Morphology and Kinesiology,100 %,"1,98 %","2,02","7,34","1,08","5,86"
Journal of the International Society of Sports Nutrition,100 %,"5,69 %","2,71","13,67","2,03","14,43"
Journal of the American Academy of Dermatology,"25,68 %","2,23 %","40,87","16,67","0,8","7,58"
The Journal of Strength and Conditioning Research,"23,98 %","2,46 %","10,57","10,44","0,57","26,7"
Trends in Immunology,"49,29 %","7,51 %","8,86","35,86","0,95","33,57"
Kidney International,"66,07 %","4,97 %","20,93","21,92","0,41","30,12"
Redox Biology,100 %,"5,58 %","19,29","31,95","0,37","6,89"
Frontiers in Sports and Active Living,100 %,"1,15 %","3,29","12,6","3,33","24,82"
PharmaNutrition,"23,46 %","6,33 %","2,14","10,76","1,26","29,57"
Thrombosis Research,"27,92 %","4,37 %","16,68","10,7","0,91","11,7"
Communications Medicine,100 %,"7,12 %",6,"6,22","6,18","13,47"
American Journal of Hematology,"82,02 %","18,05 %","59,59","26,36","0,61","9,81"
Military Medical Research,100 %,"8,7 %","5,14","89,58","0,4","9,01"
Neurobiology of Stress,100 %,"9,71 %","7,14","30,75","2,52","11,96"
Journal of Neurotrauma,"48,22 %","1,26 %","2,86","18,94","2,06","4,72"
Obstetrics and Gynecology,"24,21 %","2,47 %","22,97","8,77","1,06","7,72"
Neurology and Therapy,100 %,"10,8 %","8,35","17,61","2,28","3,6"
Clinical Pharmacology & Therapeutics,"57,5 %","4,16 %","13,37","15,26","0,65","7,37"
Biotechnology Advances,"34,64 %","2,75 %","2,71","97,68","0,58","7,3"
Drugs,"56,49 %","9,19 %","15,54","36,51","0,75","3,33"
The World Journal of Men's Health,100 %,"10,71 %","6,86","24,28","4,43","6,2"
Journal of Nutrition,"90,19 %","2,62 %","9,27","13,73","1,06","22,51"
United European Gastroenterology Journal,"98,53 %","15,41 %","23,57","16,08","0,65","39,14"
Current Psychiatry Reports,"46,18 %","5,53 %","4,71","29,24","0,86","5,79"
Journal of Science and Medicine in Sport,"44,19 %",1 %,"2,71","16,16","0,99","26,99"
The Journal of Infectious Diseases,"79,34 %","11,66 %","73,64","14,45","0,78","18,28"
Annals of the American Thoracic Society,"51,32 %","12,74 %","39,71","15,3",1,"13,93"
Alzheimer's Research & Therapy,100 %,"4,08 %","7,14","28,09","2,12","7,85"
Molecular Oncology,100 %,"17,52 %","34,05","20,83","0,52","8,73"
Evolutionary Applications,100 %,"2,47 %","3,44","17,56","1,99","15,47"
Biosafety and Health,100 %,"18,73 %","7,14","9,72","1,83","25,53"
Therapeutic Advances in Medical Oncology,100 %,"14,22 %","22,02","19,34","0,68","4,29"
Journal of Neurochemistry,"83,33 %","5,71 %","13,71","14,23","2,1","12,35"
Journal of Neuroinflammation,100 %,"4,71 %","14,5","29,67","1,06","5,27"
Headache The Journal of Head and Face Pain,"33,57 %","1,89 %","3,5","11,75","1,08","10,97"
Philosophical Transactions of the Royal Society B Biological Sciences,"92,6 %","2,11 %","8,43","21,94","0,79","15,44"
Best Practice & Research Clinical Obstetrics & Gynaecology,"19,56 %","8,26 %",8,"23,02","0,64","8,88"
Journal of Epidemiology & Community Health,"77,6 %","2,29 %","4,98","7,92","1,72","6,98"
npj Regenerative Medicine,100 %,"10,22 %","4,71","30,04","2,38","12,46"
Preventing Chronic Disease,100 %,"10,18 %","12,71","10,46","3,42","11,13"
JAMA Otolaryngology - Head & Neck Surgery,"42,6 %","14,95 %","39,86","14,79","2,15","16,89"
Chemical Science,100 %,"0,81 %",11,"29,22","1,4","7,62"
Current Neurology and Neuroscience Reports,"35,86 %","14,46 %","11,12","21,08","1,42","5,14"
Elementa: Science of the Anthropocene,100 %,"19,61 %","18,86","36,91","2,28","7,4"
JACC Basic to Translational Science,100 %,"7,43 %","10,71","27,01","1,4","31,37"
Travel Medicine and Infectious Disease,"64,77 %","21,26 %","40,14","13,27","0,47","85,23"
Frontiers in Neuroendocrinology,"45,94 %","96,77 %","38,57","36,95","1,34","14,83"
Journal of Geophysical Research Planets,"70,06 %","13,94 %","31,71","17,69","3,98","13,55"
Journal of Sleep Research,"66,99 %","1,48 %","3,98","8,93","2,67","5,9"
Journal of Rehabilitation Medicine,100 %,"2,85 %","4,29","14,7","1,99","4,35"
NeuroImage,"91,16 %","0,7 %","5,31","31,49","0,22","10,71"
Climatic Change,"68,01 %","22,87 %","53,57","17,13","1,95","11,66"
The Journal of Pediatrics,"55,07 %","4,03 %","27,79","10,16","1,91","8,06"
Circulation Research,47 %,"3,12 %","20,27","10,25","0,46","7,55"
Journal of The Royal Society Interface,"94,97 %","3,94 %","9,71","11,14","1,07","21,8"
Journal of Translational Autoimmunity,100 %,"24,69 %","8,43","12,06","0,37","114,04"
Journal of NeuroInterventional Surgery,"40,11 %","3,55 %","13,86","12,47","0,68","27,89"
Biology Letters,"98,29 %","1,74 %",3,"16,28","1,49","27,17"
Blood Cancer Journal,100 %,"69,73 %","106,29","26,07","0,84","19,66"
Journal of Health Economics,"61,09 %","3,1 %","2,57","18,44","0,8","31,56"
Evolution and Human Behavior,"47,16 %","3,95 %","2,57","12,86","0,87","33,93"
Therapeutic Advances in Hematology,100 %,"41,75 %","18,79","14,61","8,19","2,9"
Annals of Nutrition and Metabolism,"61,36 %","2,73 %","1,86","14,05","1,3","6,32"
BMC Biology,100 %,"4,33 %","8,97","32,4","0,84","17,47"
JACC Cardiovascular Imaging,"66,72 %","4,15 %","14,07","52,52","0,14","49,59"
mSystems,100 %,"3,17 %","9,18","27,37","1,1","13,92"
International Journal of Cardiology,"21,15 %","2,97 %","29,68","13,27","5,98","6,19"
European Urology Focus,"29,33 %","6,07 %","11,36","15,61","0,71","15,25"
PLOS Computational Biology,100 %,"2,02 %","14,86","14,49","0,84","9,72"
Molecular Cancer,100 %,"23,77 %","44,86","73,77","0,65","3,36"
Psychiatry Research,"37,31 %","0,63 %","3,71","7,35","2,44","7,98"
BMJ Open Sport & Exercise Medicine,100 %,"2,61 %","2,43","19,44","1,93","24,58"
Journal of Alzheimer's Disease,"45,69 %","2,4 %","18,5","13,07","1,6","4,05"
Alcohol Clinical and Experimental Research,"72,71 %","1,1 %","2,29","9,8","1,07","9,61"
World Journal of Urology,"29,66 %","3,82 %","16,36","9,85","0,38","14,12"
Journal of Advanced Nursing,"51,92 %","0,92 %","3,21","7,56","1,62","7,51"
BMC Public Health,100 %,"2,87 %","60,48","12,9","1,02","6,6"
Neuroscience & Biobehavioral Reviews,"54,05 %","2,59 %","9,57","25,05","0,43","14,62"
Acta Pharmaceutica Sinica B,100 %,"7,08 %","16,04","36,66","1,32","3,12"
The Lancet Regional Health - Americas,100 %,"6,46 %","7,57","9,19","3,44","31,51"
Archives of Pathology & Laboratory Medicine,"99,15 %","11,1 %","22,2","13,83","0,35","16,54"
British Journal of Anaesthesia,"82,17 %","1,61 %","7,74","17,86","0,15","13,33"
GeroScience,"95,89 %","2,37 %","3,84","16,84","0,48","29,82"
Advanced Materials,"41,11 %","0,92 %","20,5","66,87","1,2","5,21"
International Journal of Stroke,"42,84 %","2,27 %",3,"17,71","0,51","31,73"
Chemical Reviews,"47,89 %","1,06 %",2,"93,38","0,56","11,11"
Antiviral Research,"57,6 %","14,78 %","26,5","13,91","1,59","7,81"
European Journal of Internal Medicine,"32,97 %","3,58 %","11,56","17,72","0,69","15,34"
The Journal of Allergy and Clinical Immunology In Practice,"42,91 %","2,91 %","17,49","24,43","0,29","12,22"
Journal of Neurosurgery,"49,88 %","7,25 %","31,88","16,4","0,73","9,56"
Annals of Intensive Care,100 %,"10,46 %","15,07","21,2","0,48","20,58"
Brain Behavior and Immunity,"41,78 %",2 %,"9,21","17,03","1,66","12,37"
New Microbes and New Infections,100 %,"10,63 %","15,71","8,33","0,44","134,82"
Journal of the National Cancer Center,100 %,"28,7 %","5,73","58,18","1,59","4,95"
Trends in Endocrinology and Metabolism,"40,86 %","49,72 %","55,09","30,23","0,66","14,8"
Clinical Epigenetics,100 %,"12,39 %","22,58","19,85","0,78","15,33"
Journal of Autoimmunity,"55,06 %","15,18 %","17,63","38,06","0,51","14,14"
Environmental Research,"29,01 %","1,96 %","30,9","18,87","1,26","6,49"
Leukemia,"68,63 %","66,4 %","222,71","27,13","0,89","11,3"
Current Neuropharmacology,"79,3 %","5,26 %","7,16","32,5","1,9","6,85"
Reviews in Endocrine and Metabolic Disorders,"48,28 %",21 %,"13,5","21,9","0,32","13,05"
British Journal of Dermatology,"51,05 %","3,05 %","35,54","10,13","1,4","6,01"
Translational Andrology and Urology,"99,05 %","9,05 %","24,58","9,78","0,93","5,87"
Journal of Diabetes Science and Technology,100 %,"2,78 %","5,43","13,97","2,99","4,89"
Frontiers in Neurology,100 %,"3,37 %","68,36","10,55","0,67","4,99"
Development,"96,81 %","3,06 %","12,86","28,01","0,68","12,05"
Annals of Behavioral Medicine,"76,57 %","4,27 %","3,99","10,36","0,83","3,42"
Dermatology and Therapy,100 %,"4,09 %","5,55","25,94","2,9","3,35"
European Heart Journal,"66,38 %","1,9 %","77,94","5,87","0,57","11,78"
Trends in Plant Science,"36,84 %","5,26 %","8,86","79,9","0,33","27,66"
Radio Graphics,"7,55 %","8,19 %","15,15","25,82","0,13","35,17"
Allergy,"61,74 %","2,03 %","7,86","22,68","0,36","13,13"
Mucosal Immunology,"91,23 %","8,02 %","8,43","31,5","0,5","14,39"
British Journal of Pharmacology,"88,56 %","4,44 %","13,62",34,"0,47","8,74"
Toxicology Reports,100 %,"3,91 %","6,34","12,53","0,36","54,99"
Journal of Telemedicine and Telecare,"33,38 %",2 %,"1,85","26,4","1,62","4,44"
Public Health Reports,"93,91 %","4,45 %","5,18","10,84","2,11","5,93"
Circulation Cardiovascular Quality and Outcomes,"52,42 %","1,98 %",5,"9,83","3,84","7,54"
Oncogene,"62,95 %","17,93 %","77,83","27,46","0,61","5,93"
Sexual Medicine Reviews,"16,87 %","5,53 %","3,54","16,3","0,82","5,17"
BJU International,"56,62 %","3,01 %","8,93","13,61","0,66","10,39"
eNeuro,100 %,"2,77 %","8,14","13,82","1,18","11,75"
Trends in Molecular Medicine,"47,9 %","5,44 %","6,6","37,99","0,45","11,65"
New Phytologist,"84,65 %","4,7 %","32,86","39,65","0,36","24,31"
ACS Sensors,"28,46 %","1,45 %","6,29","34,69","1,3","4,5"
Vaccine,"58,62 %","9,02 %","88,07","10,21","1,29","8,35"
The Lancet Regional Health - Western Pacific,100 %,"4,61 %","7,21","13,86","2,62","9,97"
Cancer Communications,100 %,"23,19 %","21,93","44,96","0,59","3,31"
Food Chemistry,"15,37 %","0,27 %","6,71","26,67","0,28","5,76"
Archives of Toxicology,"56,15 %","4,2 %","10,05","16,88","0,79","5,18"
BMJ Open Gastroenterology,100 %,"14,85 %","9,71","9,85","2,63","7,4"
Translational Research,"54,04 %","8,64 %","8,95","25,39","0,45","4,94"
The Annals of Family Medicine,"99,7 %","0,87 %","2,49","7,62","6,17","10,19"
Journal of Bone and Mineral Research,"89,48 %","11,12 %","26,21","16,5","2,01","12,89"
Molecular & Cellular Proteomics,100 %,"5,43 %","9,67","19,54","0,93","11,69"
American Journal of Physiology - Lung Cellular and Molecular Physiology,"71,28 %","20,56 %","35,63","15,27","0,52","14,51"
BJOG An International Journal of Obstetrics & Gynaecology,"62,03 %","2,4 %","9,06","12,88","0,97","10,95"
npj Precision Oncology,100 %,"19,1 %","16,45","21,81","0,59","10,02"
Journal of Cleaner Production,"19,29 %","0,05 %","1,86","22,77","1,11","3,18"
Bulletin of the World Health Organization,"97,71 %","6,1 %","10,14","27,17","0,61","11,65"
Pediatric Anesthesia,"22,19 %","4,93 %","10,36","6,99","4,56","3,85"
Drug and Alcohol Dependence,"60,05 %","5,54 %","32,1","13,66","1,27","9,6"
Cancer Prevention Research,"63,62 %","13,82 %","18,12","10,07","1,21","9,51"
Journal of the International AIDS Society,100 %,"2,5 %","3,93","15,42","0,59","13,52"
BMJ Open,100 %,"1,72 %","65,68","7,27","0,81","4,99"
Drugs Habits and Social Policy,"38,21 %","9,6 %","1,71","7,54","3,41","26,35"
Journal of Molecular and Cellular Cardiology,"39,37 %","4,98 %","13,35","15,48","0,94","15,5"
Alimentary Pharmacology & Therapeutics,"72,94 %","4,09 %","19,93","31,24","0,31","16,35"
Journal of Clinical Gastroenterology,"21,21 %","7,99 %","14,5","10,04","1,07","5,77"
The Annual Review of Pharmacology and Toxicology,"71,52 %","9,74 %","2,71","36,85","2,06","3,97"
Journal of Natural Products,"21,25 %","4,87 %","16,5","12,8","0,65","10,01"
Trends in Parasitology,"47,83 %","29,27 %","40,43","24,53","0,84","25,4"
Stroke,"31,89 %","0,95 %","16,69","7,46","1,18","5,89"
Clinical Oral Investigations,"37,74 %","1,99 %","9,88","10,44","0,86","1,61"
Cytokine & Growth Factor Reviews,"42,57 %","15,11 %","7,86","41,6","1,76","4,03"
Diabetes Technology & Therapeutics,"43,12 %","2,46 %","3,57","29,09","1,3","3,55"
Infectious Diseases and Therapy,100 %,"14,01 %","16,86","13,58","1,38","9,12"
Annual Review of Medicine,"72,62 %","26,89 %","8,14","60,27","0,89","8,88"
Current Opinion in Clinical Nutrition & Metabolic Care,"25,01 %","3,04 %","2,27","14,36","0,94","6,62"
Chinese Medical Journal,100 %,"6,42 %","35,05","19,45","1,14","1,59"
Molecular Plant-Microbe Interactions,100 %,"5,52 %","7,14","25,42","0,88","15,66"
Human Genetics,"62,78 %","16,27 %","19,07","19,06","1,38","4,25"
Frontiers in Nutrition,100 %,"2,03 %","24,43","14,32","1,26","7,93"
Molecular Therapy — Methods & Clinical Development,100 %,"9,47 %","16,15","17,52","0,36","4,67"
BMJ Sexual & Reproductive Health,"56,19 %","5,41 %","3,71","7,44","3,62","13,53"
Clinical Therapeutics,"47,74 %","4,35 %","8,31","13,61","3,53","3,78"
Molecular Ecology,"66,79 %","1,37 %","5,33","21,13","1,15","11,92"
British Journal of Clinical Pharmacology,"91,51 %","4,08 %","15,14","14,44","0,71","5,66"
Trends in Neurosciences,"57,28 %","4,51 %","5,14","40,03","0,59","21,18"
ESMO Open,100 %,"7,37 %","44,46","19,98","0,47","5,86"
Nutrition in Clinical Practice,"29,31 %","5,66 %","7,25","15,13",2,"11,51"
Current Obesity Reports,"52,46 %","6,99 %","2,86","41,26","1,01","6,49"
The Cryosphere,100 %,"19,3 %","47,29","20,11","1,29","10,86"
Breastfeeding Medicine,"17,94 %","2,03 %","3,07","6,74","3,88","6,85"
The Journals of Gerontology Series A,"72,54 %","1,31 %","3,62","11,6","0,9","8,5"
Advances in Therapy,"73,51 %","5,64 %","18,07","14,49","0,81","3,82"
Journal of Cardiovascular Development and Disease,100 %,"9,51 %","21,1","43,18","1,49","4,36"
Aerosol Science and Technology,"61,96 %","45,61 %",46,"9,23","0,96","42,41"
Public Health Research & Practice,100 %,"8,96 %","3,43","8,18","2,3","21,79"
Frontiers in Neuroscience,100 %,3 %,"48,82","15,33","0,51","6,07"
Molecular Plant,"81,8 %","6,08 %","10,43","49,06","0,67","15,74"
International Journal of Impotence Research,"29,5 %","3,21 %","4,25","6,81","0,5","15,34"
Obesity Research & Clinical Practice,"24,07 %","1,8 %","2,29","9,14","2,33","25,21"
Andrology,"78,4 %","9,73 %","16,71","13,63","0,54","7,05"
Trends in Cardiovascular Medicine,"23,35 %","6,58 %","6,43","16,65","0,59","21,61"
International Journal of Dermatology,"12,49 %","6,2 %","30,69","8,57","2,33","4,07"
Seminars in Immunopathology,"67,26 %","12,71 %","5,93","38,4","0,32","4,42"
Pharmacology Research & Perspectives,100 %,"3,64 %","4,8","14,88","0,7","4,28"
Journal of Thrombosis and Haemostasis,"74,88 %","9,12 %","33,81","18,9","0,22","15,13"
American Journal of Nephrology,"58,31 %","6,03 %","5,78","12,58","0,41","9,97"
BJPsych Open,100 %,"0,77 %","2,92","2,87","0,4","37,49"
Journal of Molecular Diagnostics,"89,11 %","17,95 %","20,93","16,63","3,08","3,68"
Advanced Science,100 %,"2,31 %",32,"25,64","1,22","3,35"
Journal of Nuclear Cardiology,"52,08 %","5,79 %","19,5","11,87","1,33","5,7"
Neurology Genetics,100 %,"26,93 %","23,24","13,58","0,72","8,91"
Nature and Science of Sleep,100 %,"3,13 %","3,09","20,96","1,66","2,98"
PLOS Neglected Tropical Diseases,100 %,"24,28 %","193,93","12,75","0,51","7,81"
Journal of Molecular Medicine,"51,43 %","9,48 %","11,48","15,74","0,98","3,48"
Earth System Dynamics,100 %,"53,15 %",35,"22,99","1,41","10,44"
Inflammation and Regeneration,100 %,"14,09 %","5,86","28,24","2,29","4,56"
Clinical Microbiology and Infection,"74,57 %","11,64 %","42,71","22,9","0,37","17,15"
Modern Pathology,"83,83 %","18,13 %","42,48","25,37","0,17","15,12"
American Journal of Critical Care,"24,98 %","4,63 %",4,"8,27","2,25","11,33"
Infectious Disease Clinics of North America,"23,84 %","12,41 %",7,"32,61","0,58","3,47"
BioDrugs,"58,88 %","12,56 %","6,92","24,38","0,78","4,43"
Journal of Neurology Neurosurgery & Psychiatry,"36,08 %","7,24 %","33,51","11,5","0,5","16,5"
